school_id,school,school_deg_cat,prop_completed,prop_denied,prop_withdrawn,prop_precepted_rotation,prop_filled,total_hours_rotated,is_affiliated,partner_tier,Year,Program_Name,TotalDelivered,TotalPassed,TotalFailed,PassRate
abraham baldwin agricultural,Abraham Baldwin Agricultural College,3,1.0,0.0,0.0,1.0,1.0,72,1,0,2022.0,Abraham Baldwin Agricultural College,119.0,93.0,26.0,0.7815126050420168
abraham baldwin agricultural,Abraham Baldwin Agricultural College,3,1.0,0.0,0.0,1.0,1.0,72,1,0,2023.0,Abraham Baldwin Agricultural College,102.0,84.0,18.0,0.8235294117647058
abraham baldwin agricultural,Abraham Baldwin Agricultural College,3,1.0,0.0,0.0,1.0,1.0,72,1,0,2024.0,Abraham Baldwin Agricultural College,84.0,82.0,2.0,0.9761904761904762
abraham baldwin agricultural,Abraham Baldwin Agricultural College,3,1.0,0.0,0.0,1.0,1.0,72,1,0,2025.0,Abraham Baldwin Agricultural College,96.0,96.0,0.0,1.0
albany state,Albany State University - Nursing,2,0.5,0.5,0.0,1.0,1.0,120,1,2,2022.0,Albany State University,196.0,143.0,53.0,0.7295918367346939
albany state,Albany State University - Nursing,2,0.5,0.5,0.0,1.0,1.0,120,1,2,2023.0,Albany State University,163.0,143.0,20.0,0.8773006134969326
albany state,Albany State University - Nursing,2,0.5,0.5,0.0,1.0,1.0,120,1,2,2024.0,Albany State University,127.0,121.0,6.0,0.952755905511811
albany state,Albany State University - Nursing,2,0.5,0.5,0.0,1.0,1.0,120,1,2,2025.0,Albany State University,143.0,123.0,20.0,0.8601398601398601
atlanta technical,Atlanta Technical College - Nursing,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,1,0,2022.0,Atlanta Technical College,10.0,8.0,2.0,0.8
atlanta technical,Atlanta Technical College - Nursing,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,1,0,2023.0,Atlanta Technical College,12.0,12.0,0.0,1.0
atlanta technical,Atlanta Technical College - Nursing,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,1,0,2024.0,Atlanta Technical College,24.0,24.0,0.0,1.0
atlanta technical,Atlanta Technical College - Nursing,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,1,0,2025.0,Atlanta Technical College,13.0,13.0,0.0,1.0
auburn,Auburn University - School of Nursing,1,0.0,0.0,1.0,1.0,0.0,0,1,2,,,,,,
auburn undergraduate,Auburn University - College of Nursing (Undergraduate),2,0.9090909090909091,0.0,0.09090909090909091,1.0,0.9090909090909091,2120,1,2,,,,,,
augusta,Augusta University (Athens Campus) - Nursing,2,0.0,1.0,0.0,0.9473684210526315,0.0,0,1,2,2022.0,Augusta University,298.0,243.0,55.0,0.8154362416107382
augusta,Augusta University (Athens Campus) - Nursing,2,0.0,1.0,0.0,0.9473684210526315,0.0,0,1,2,2023.0,Augusta University,306.0,283.0,23.0,0.9248366013071896
augusta,Augusta University (Athens Campus) - Nursing,2,0.0,1.0,0.0,0.9473684210526315,0.0,0,1,2,2024.0,Augusta University,306.0,305.0,19.0,0.9967320261437909
augusta,Augusta University (Athens Campus) - Nursing,2,0.0,1.0,0.0,0.9473684210526315,0.0,0,1,2,2025.0,Augusta University,290.0,262.0,28.0,0.903448275862069
brenau,Brenau University,2,0.08928571428571429,0.8928571428571429,0.017857142857142856,0.6160714285714286,0.08588957055214724,3864,1,2,2022.0,Brenau University,122.0,104.0,18.0,0.8524590163934426
brenau,Brenau University,2,0.08928571428571429,0.8928571428571429,0.017857142857142856,0.6160714285714286,0.08588957055214724,3864,1,2,2023.0,Brenau University,128.0,111.0,17.0,0.8671875
brenau,Brenau University,2,0.08928571428571429,0.8928571428571429,0.017857142857142856,0.6160714285714286,0.08588957055214724,3864,1,2,2024.0,Brenau University,111.0,117.0,8.0,1.054054054054054
brenau,Brenau University,2,0.08928571428571429,0.8928571428571429,0.017857142857142856,0.6160714285714286,0.08588957055214724,3864,1,2,2025.0,Brenau University,117.0,103.0,14.0,0.8803418803418803
chamberlain,Chamberlain College of Nursing,2,0.4129821260583255,0.5089369708372531,0.07808090310442145,0.10630291627469426,0.360479409956976,205757,1,1,2022.0,Chamberlain University,327.0,260.0,67.0,0.7951070336391437
chamberlain,Chamberlain College of Nursing,2,0.4129821260583255,0.5089369708372531,0.07808090310442145,0.10630291627469426,0.360479409956976,205757,1,1,2023.0,Chamberlain University,426.0,339.0,87.0,0.795774647887324
chamberlain,Chamberlain College of Nursing,2,0.4129821260583255,0.5089369708372531,0.07808090310442145,0.10630291627469426,0.360479409956976,205757,1,1,2024.0,Chamberlain University,403.0,314.0,89.0,0.7791563275434243
chamberlain,Chamberlain College of Nursing,2,0.4129821260583255,0.5089369708372531,0.07808090310442145,0.10630291627469426,0.360479409956976,205757,1,1,2025.0,Chamberlain University,331.0,264.0,67.0,0.797583081570997
columbus state,Columbus State University - Nursing,2,1.0,0.0,0.0,1.0,1.0,345,1,0,2022.0,Columbus State University,39.0,34.0,5.0,0.8717948717948718
columbus state,Columbus State University - Nursing,2,1.0,0.0,0.0,1.0,1.0,345,1,0,2023.0,Columbus State University,60.0,58.0,2.0,0.9666666666666667
columbus state,Columbus State University - Nursing,2,1.0,0.0,0.0,1.0,1.0,345,1,0,2024.0,Columbus State University,74.0,71.0,3.0,0.9594594594594594
columbus state,Columbus State University - Nursing,2,1.0,0.0,0.0,1.0,1.0,345,1,0,2025.0,Columbus State University,47.0,45.0,2.0,0.9574468085106383
dalton state,Dalton State College - Nursing,3,0.0,1.0,0.0,1.0,1.0,0,1,0,2022.0,Dalton State College,58.0,41.0,17.0,0.7068965517241379
dalton state,Dalton State College - Nursing,3,0.0,1.0,0.0,1.0,1.0,0,1,0,2023.0,Dalton State College,84.0,74.0,10.0,0.8809523809523809
dalton state,Dalton State College - Nursing,3,0.0,1.0,0.0,1.0,1.0,0,1,0,2024.0,Dalton State College,116.0,103.0,13.0,0.8879310344827587
dalton state,Dalton State College - Nursing,3,0.0,1.0,0.0,1.0,1.0,0,1,0,2025.0,Dalton State College,110.0,89.0,21.0,0.8090909090909091
emory,Emory University - SON,1,0.7716417910447761,0.1,0.12835820895522387,0.5776119402985075,0.5894087776568734,141005,1,1,2022.0,Emory University,477.0,405.0,72.0,0.8490566037735849
emory,Emory University - SON,1,0.7716417910447761,0.1,0.12835820895522387,0.5776119402985075,0.5894087776568734,141005,1,1,2023.0,Emory University,469.0,428.0,41.0,0.9125799573560768
emory,Emory University - SON,1,0.7716417910447761,0.1,0.12835820895522387,0.5776119402985075,0.5894087776568734,141005,1,1,2024.0,Emory University,490.0,448.0,42.0,0.9142857142857143
emory,Emory University - SON,1,0.7716417910447761,0.1,0.12835820895522387,0.5776119402985075,0.5894087776568734,141005,1,1,2025.0,Emory University,497.0,409.0,88.0,0.8229376257545271
emory prelicensure,Emory University - SON Pre-licensure,2,0.9605657951135876,0.018002571795970854,0.021431633090441493,0.6806686669524218,0.7868738726238379,440112,1,1,2022.0,Emory University,477.0,405.0,72.0,0.8490566037735849
emory prelicensure,Emory University - SON Pre-licensure,2,0.9605657951135876,0.018002571795970854,0.021431633090441493,0.6806686669524218,0.7868738726238379,440112,1,1,2023.0,Emory University,469.0,428.0,41.0,0.9125799573560768
emory prelicensure,Emory University - SON Pre-licensure,2,0.9605657951135876,0.018002571795970854,0.021431633090441493,0.6806686669524218,0.7868738726238379,440112,1,1,2024.0,Emory University,490.0,448.0,42.0,0.9142857142857143
emory prelicensure,Emory University - SON Pre-licensure,2,0.9605657951135876,0.018002571795970854,0.021431633090441493,0.6806686669524218,0.7868738726238379,440112,1,1,2025.0,Emory University,497.0,409.0,88.0,0.8229376257545271
excelsior,Excelsior University,3,1.0,0.0,0.0,1.0,0.0,45,0,0,,,,,,
georgia college and state,Georgia College & State University - Nursing,2,0.8571428571428571,0.14285714285714285,0.0,1.0,0.8571428571428571,936,1,0,2022.0,Georgia College and State University,109.0,97.0,12.0,0.8899082568807339
georgia college and state,Georgia College & State University - Nursing,2,0.8571428571428571,0.14285714285714285,0.0,1.0,0.8571428571428571,936,1,0,2023.0,Georgia College and State University,135.0,128.0,8.0,0.9481481481481482
georgia college and state,Georgia College & State University - Nursing,2,0.8571428571428571,0.14285714285714285,0.0,1.0,0.8571428571428571,936,1,0,2024.0,Georgia College and State University,142.0,130.0,12.0,0.9154929577464789
georgia college and state,Georgia College & State University - Nursing,2,0.8571428571428571,0.14285714285714285,0.0,1.0,0.8571428571428571,936,1,0,2025.0,Georgia College and State University,132.0,124.0,8.0,0.9393939393939394
georgia gwinnett,Georgia Gwinnett College,2,0.21153846153846154,0.75,0.038461538461538464,0.28846153846153844,0.2079207920792079,2260,1,1,2022.0,Georgia Gwinnett College,57.0,54.0,3.0,0.9473684210526315
georgia gwinnett,Georgia Gwinnett College,2,0.21153846153846154,0.75,0.038461538461538464,0.28846153846153844,0.2079207920792079,2260,1,1,2023.0,Georgia Gwinnett College,54.0,52.0,2.0,0.9629629629629629
georgia gwinnett,Georgia Gwinnett College,2,0.21153846153846154,0.75,0.038461538461538464,0.28846153846153844,0.2079207920792079,2260,1,1,2024.0,Georgia Gwinnett College,63.0,63.0,0.0,1.0
georgia gwinnett,Georgia Gwinnett College,2,0.21153846153846154,0.75,0.038461538461538464,0.28846153846153844,0.2079207920792079,2260,1,1,2025.0,Georgia Gwinnett College,67.0,56.0,11.0,0.835820895522388
georgia highlands,Georgia Highlands College - Nursing,3,1.0,0.0,0.0,1.0,1.0,90,1,0,2022.0,Georgia Highlands College,87.0,74.0,13.0,0.8505747126436781
georgia highlands,Georgia Highlands College - Nursing,3,1.0,0.0,0.0,1.0,1.0,90,1,0,2023.0,Georgia Highlands College,82.0,79.0,3.0,0.9634146341463414
georgia highlands,Georgia Highlands College - Nursing,3,1.0,0.0,0.0,1.0,1.0,90,1,0,2024.0,Georgia Highlands College,100.0,96.0,4.0,0.96
georgia highlands,Georgia Highlands College - Nursing,3,1.0,0.0,0.0,1.0,1.0,90,1,0,2025.0,Georgia Highlands College,111.0,101.0,10.0,0.9099099099099099
georgia state,Georgia State University - SON - Undergraduate,2,0.3089430894308943,0.5365853658536586,0.15447154471544716,0.3252032520325203,0.2222222222222222,14572,1,0,2022.0,Georgia State University,239.0,212.0,27.0,0.8870292887029289
georgia state,Georgia State University - SON - Undergraduate,2,0.3089430894308943,0.5365853658536586,0.15447154471544716,0.3252032520325203,0.2222222222222222,14572,1,0,2023.0,Georgia State University,200.0,181.0,19.0,0.905
georgia state,Georgia State University - SON - Undergraduate,2,0.3089430894308943,0.5365853658536586,0.15447154471544716,0.3252032520325203,0.2222222222222222,14572,1,0,2024.0,Georgia State University,220.0,209.0,11.0,0.95
georgia state,Georgia State University - SON - Undergraduate,2,0.3089430894308943,0.5365853658536586,0.15447154471544716,0.3252032520325203,0.2222222222222222,14572,1,0,2025.0,Georgia State University,272.0,250.0,22.0,0.9191176470588235
gordon state,Gordon State College,2,1.0,0.0,0.0,1.0,1.0,180,1,0,2022.0,Gordon State College,71.0,60.0,11.0,0.8450704225352113
gordon state,Gordon State College,2,1.0,0.0,0.0,1.0,1.0,180,1,0,2023.0,Gordon State College,90.0,78.0,12.0,0.8666666666666667
gordon state,Gordon State College,2,1.0,0.0,0.0,1.0,1.0,180,1,0,2024.0,Gordon State College,90.0,83.0,7.0,0.9222222222222223
gordon state,Gordon State College,2,1.0,0.0,0.0,1.0,1.0,180,1,0,2025.0,Gordon State College,91.0,74.0,17.0,0.8131868131868132
grand canyon,Grand Canyon University,2,0.7333333333333333,0.26666666666666666,0.0,1.0,0.8666666666666667,1350,1,0,,,,,,
herzing,Herzing University,3,0.3793103448275862,0.5862068965517241,0.034482758620689655,1.0,0.41379310344827586,1485,1,0,2022.0,Herzing University,33.0,12.0,21.0,0.36363636363636365
herzing,Herzing University,3,0.3793103448275862,0.5862068965517241,0.034482758620689655,1.0,0.41379310344827586,1485,1,0,2023.0,Herzing University,31.0,28.0,3.0,0.9032258064516129
herzing,Herzing University,3,0.3793103448275862,0.5862068965517241,0.034482758620689655,1.0,0.41379310344827586,1485,1,0,2024.0,Herzing University,77.0,62.0,15.0,0.8051948051948052
herzing,Herzing University,3,0.3793103448275862,0.5862068965517241,0.034482758620689655,1.0,0.41379310344827586,1485,1,0,2025.0,Herzing University,35.0,28.0,7.0,0.8
hope arts and sciences,Hope College of Arts & Sciences,3,0.2727272727272727,0.7272727272727273,0.0,0.9090909090909091,0.3333333333333333,360,0,0,,,,,,
indiana state,Indiana State University - Online LPN to BSN Track,4,0.0,1.0,0.0,1.0,0.022222222222222223,0,0,0,,,,,,
kennesaw state,Kennesaw State University - Nursing,2,0.6129032258064516,0.3225806451612903,0.06451612903225806,0.6129032258064516,0.636963696369637,13289,1,1,2022.0,Kennesaw State University,244.0,215.0,229.0,0.8811475409836066
kennesaw state,Kennesaw State University - Nursing,2,0.6129032258064516,0.3225806451612903,0.06451612903225806,0.6129032258064516,0.636963696369637,13289,1,1,2023.0,Kennesaw State University,301.0,273.0,28.0,0.9069767441860465
kennesaw state,Kennesaw State University - Nursing,2,0.6129032258064516,0.3225806451612903,0.06451612903225806,0.6129032258064516,0.636963696369637,13289,1,1,2024.0,Kennesaw State University,319.0,308.0,11.0,0.9655172413793104
kennesaw state,Kennesaw State University - Nursing,2,0.6129032258064516,0.3225806451612903,0.06451612903225806,0.6129032258064516,0.636963696369637,13289,1,1,2025.0,Kennesaw State University,386.0,345.0,41.0,0.8937823834196891
mercer,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.37777777777777777,0.5892116182572614,12080,1,0,2022.0,Georgia Baptist College of Nursing-Mercer University,198.0,161.0,37.0,0.8131313131313131
mercer,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.37777777777777777,0.5892116182572614,12080,1,0,2023.0,Georgia Baptist College of Nursing-Mercer University,171.0,155.0,16.0,0.9064327485380117
mercer,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.37777777777777777,0.5892116182572614,12080,1,0,2024.0,Georgia Baptist College of Nursing-Mercer University,161.0,154.0,7.0,0.9565217391304348
mercer,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.37777777777777777,0.5892116182572614,12080,1,0,2025.0,Georgia Baptist College of Nursing-Mercer University,131.0,118.0,13.0,0.9007633587786259
middle georgia state,Middle Georgia State University - Undergraduate Nursing,2,1.0,0.0,0.0,1.0,1.0,164,1,1,2022.0,Middle Georgia State University,216.0,196.0,20.0,0.9074074074074074
middle georgia state,Middle Georgia State University - Undergraduate Nursing,2,1.0,0.0,0.0,1.0,1.0,164,1,1,2023.0,Middle Georgia State University,172.0,166.0,6.0,0.9651162790697675
middle georgia state,Middle Georgia State University - Undergraduate Nursing,2,1.0,0.0,0.0,1.0,1.0,164,1,1,2024.0,Middle Georgia State University,138.0,136.0,2.0,0.9855072463768116
middle georgia state,Middle Georgia State University - Undergraduate Nursing,2,1.0,0.0,0.0,1.0,1.0,164,1,1,2025.0,Middle Georgia State University,91.0,88.0,3.0,0.967032967032967
north georgia,University of North Georgia - Nursing,2,0.5128205128205128,0.38461538461538464,0.10256410256410256,0.1794871794871795,0.4069264069264069,10080,1,1,2022.0,University of North Georgia,188.0,165.0,23.0,0.8776595744680851
north georgia,University of North Georgia - Nursing,2,0.5128205128205128,0.38461538461538464,0.10256410256410256,0.1794871794871795,0.4069264069264069,10080,1,1,2023.0,University of North Georgia,161.0,154.0,7.0,0.9565217391304348
north georgia,University of North Georgia - Nursing,2,0.5128205128205128,0.38461538461538464,0.10256410256410256,0.1794871794871795,0.4069264069264069,10080,1,1,2024.0,University of North Georgia,184.0,178.0,6.0,0.967391304347826
north georgia,University of North Georgia - Nursing,2,0.5128205128205128,0.38461538461538464,0.10256410256410256,0.1794871794871795,0.4069264069264069,10080,1,1,2025.0,University of North Georgia,201.0,186.0,15.0,0.9253731343283582
online herzing,Herzing University - Online,4,0.48,0.52,0.0,0.12,0.4715909090909091,8094,1,0,2022.0,Herzing University,33.0,12.0,21.0,0.36363636363636365
online herzing,Herzing University - Online,4,0.48,0.52,0.0,0.12,0.4715909090909091,8094,1,0,2023.0,Herzing University,31.0,28.0,3.0,0.9032258064516129
online herzing,Herzing University - Online,4,0.48,0.52,0.0,0.12,0.4715909090909091,8094,1,0,2024.0,Herzing University,77.0,62.0,15.0,0.8051948051948052
online herzing,Herzing University - Online,4,0.48,0.52,0.0,0.12,0.4715909090909091,8094,1,0,2025.0,Herzing University,35.0,28.0,7.0,0.8
perimeter,Georgia State University - Perimeter College,3,0.5416666666666666,0.25,0.20833333333333334,0.22916666666666666,0.4647887323943662,7532,1,1,,,,,,
reinhardt,Reinhardt University School of Nursing and Health Sciences,2,0.0,1.0,0.0,0.2,0.0,0,1,0,2022.0,Reinhardt University,25.0,21.0,4.0,0.84
reinhardt,Reinhardt University School of Nursing and Health Sciences,2,0.0,1.0,0.0,0.2,0.0,0,1,0,2023.0,Reinhardt University,37.0,35.0,2.0,0.9459459459459459
reinhardt,Reinhardt University School of Nursing and Health Sciences,2,0.0,1.0,0.0,0.2,0.0,0,1,0,2024.0,Reinhardt University,20.0,20.0,0.0,1.0
reinhardt,Reinhardt University School of Nursing and Health Sciences,2,0.0,1.0,0.0,0.2,0.0,0,1,0,2025.0,Reinhardt University,32.0,32.0,0.0,1.0
south,South College - Atlanta Campus - Nursing,3,0.10638297872340426,0.8581560283687943,0.03546099290780142,0.6666666666666666,0.06713780918727916,2701,0,0,2022.0,South College,68.0,61.0,7.0,0.8970588235294118
south,South College - Atlanta Campus - Nursing,3,0.10638297872340426,0.8581560283687943,0.03546099290780142,0.6666666666666666,0.06713780918727916,2701,0,0,2023.0,South College,36.0,35.0,1.0,0.9722222222222222
south,South College - Atlanta Campus - Nursing,3,0.10638297872340426,0.8581560283687943,0.03546099290780142,0.6666666666666666,0.06713780918727916,2701,0,0,2024.0,South College,95.0,82.0,13.0,0.8631578947368421
south,South College - Atlanta Campus - Nursing,3,0.10638297872340426,0.8581560283687943,0.03546099290780142,0.6666666666666666,0.06713780918727916,2701,0,0,2025.0,South College,270.0,187.0,83.0,0.6925925925925925
southern crescent technical,Southern Crescent Technical College - LPN/Paramedic RN Bridge,3,0.0,1.0,0.0,1.0,0.0,0,1,0,2022.0,Southern Crescent Technical College,38.0,33.0,5.0,0.868421052631579
southern crescent technical,Southern Crescent Technical College - LPN/Paramedic RN Bridge,3,0.0,1.0,0.0,1.0,0.0,0,1,0,2023.0,Southern Crescent Technical College,41.0,38.0,3.0,0.926829268292683
southern crescent technical,Southern Crescent Technical College - LPN/Paramedic RN Bridge,3,0.0,1.0,0.0,1.0,0.0,0,1,0,2024.0,Southern Crescent Technical College,40.0,35.0,5.0,0.875
southern crescent technical,Southern Crescent Technical College - LPN/Paramedic RN Bridge,3,0.0,1.0,0.0,1.0,0.0,0,1,0,2025.0,Southern Crescent Technical College,76.0,70.0,6.0,0.9210526315789473
walden,Walden University,4,0.75,0.25,0.0,1.0,0.75,304,1,0,,,,,,
west georgia,University of West Georgia,2,0.04878048780487805,0.9512195121951219,0.0,0.9024390243902439,0.020618556701030927,216,1,2,2022.0,University of West Georgia,134.0,96.0,38.0,0.7164179104477612
west georgia,University of West Georgia,2,0.04878048780487805,0.9512195121951219,0.0,0.9024390243902439,0.020618556701030927,216,1,2,2023.0,University of West Georgia,167.0,141.0,26.0,0.844311377245509
west georgia,University of West Georgia,2,0.04878048780487805,0.9512195121951219,0.0,0.9024390243902439,0.020618556701030927,216,1,2,2024.0,University of West Georgia,143.0,133.0,10.0,0.9300699300699301
west georgia,University of West Georgia,2,0.04878048780487805,0.9512195121951219,0.0,0.9024390243902439,0.020618556701030927,216,1,2,2025.0,University of West Georgia,150.0,125.0,25.0,0.8333333333333334
western governors,Western Governors University - Nursing,4,0.0,0.0,1.0,1.0,1.0,0,1,0,,,,,,
